source	target
GO:0006915	GNRH1
GO:0006915	NDUFS1
GO:0006915	NGF
GO:0006915	TGFB1
GO:0006915	EYA1
GO:0006915	CD27
GO:0006915	STK17A
GO:0006915	DNASE2B
GO:0006915	RFFL
GO:0006915	KRAS
GO:0006915	HRAS
GO:0006915	LOX
GO:0006915	MYC
GO:0006915	PRKCD
GO:0006915	EEF1A2
GO:0006915	CHCHD10
GO:0006915	BCL2L2
GO:0006915	KIFAP3
GO:0006915	GHSR
GO:0006915	P2RX7
GO:0006915	TSC22D3
GO:0006915	MSH2
GO:0006915	DHCR24
GO:0006915	MNT
GO:0006915	TOP2A
GO:0006915	CSRNP3
GO:0006915	APBB2
GO:0006915	TRAF6
GO:0006915	FGFR1
GO:0006915	ARHGEF1
GO:0006915	ARF4
GO:0006915	HYOU1
GO:0006915	BMP7
GO:0006915	ERCC2
GO:0006915	ALOX12
GO:0006915	ING5
GO:0006915	PIM1
GO:0006915	PTPN1
GO:0006915	FLNA
GO:0006915	ADIPOQ
GO:0006915	NF1
GO:0006915	UBE2V2
GO:0006915	ITSN1
GO:0006915	PPP2R2B
GO:0006915	ARHGEF3
GO:0006915	KITLG
GO:0006915	TNFAIP3
GO:0006915	CTNNBL1
GO:0006915	GDF1
GO:0006915	M0QZQ0
GO:0006915	CNR1
GO:0006915	UFL1
GO:0006915	EMC4
GO:0006915	MAGI3
GO:0006915	PIK3CG
GO:0006915	IL7R
GO:0006915	CDK1
GO:0006915	MYCNOS
GO:0006915	MSX2
GO:0006915	HYAL2
GO:0006915	IKBKB
GO:0006915	BRAF
GO:0006915	GRIN2A
GO:0006915	UBE2Z
GO:0006915	ATG3
GO:0006915	MERTK
GO:0006915	WNT9A
GO:0006915	MAP3K12
GO:0006915	STX4
GO:0006915	NEK6
GO:0006915	POU4F2
GO:0006915	BCL7B
GO:0006915	SERPINB9
GO:0006915	HMGB1
GO:0006915	AKAP13
GO:0006915	RELT
GO:0006915	MAPK8IP1
GO:0006915	PF4
GO:0006915	LTF
GO:0006915	TMBIM1
GO:0006915	ZDHHC16
GO:0006915	PSMG2
GO:0006915	CEACAM6
GO:0006915	TOX3
GO:0006915	IL6ST
GO:0006915	CAAP1
GO:0006915	ZNF622
GO:0006915	ID3
GO:0006915	IFIT3
GO:0006915	PIGT
GO:0006915	AIM2
GO:0006915	DRD3
GO:0006915	CD44
GO:0006915	NQO2
GO:0006915	RNF34
GO:0006915	KCNMA1
GO:0006915	RASGRF2
GO:0006915	FOXO1
GO:0006915	ARHGEF5
GO:0006915	MYDGF
GO:0006915	FBXW7
GO:0006915	RFK
GO:0006915	LHX4
GO:0006915	FATE1
GO:0006915	TSLP
GO:0006915	Mar/07
GO:0006915	SOX8
GO:0006915	FOXA1
GO:0006915	RPS6KB1
GO:0006915	IER3
GO:0006915	FGD2
GO:0006915	SH3RF1
GO:0006915	RABGGTA
GO:0006915	SRPX
GO:0006915	DAP
GO:0006915	DAP3
GO:0006915	NAE1
GO:0006915	IRF5
GO:0006915	MTRNR2L10
GO:0006915	SNW1
GO:0006915	ADARB1
GO:0006915	CARD11
GO:0006915	SLC5A8
GO:0006915	STK17B
GO:0006915	CLEC7A
GO:0006915	DRAM1
GO:0006915	PLEKHN1
GO:0006915	NGEF
GO:0006915	ALDH1A2
GO:0006915	BCAR1
GO:0006915	INHBA
GO:0006915	BCL6
GO:0006915	BMP8A
GO:0006915	TNFRSF8
GO:0006915	CD38
GO:0006915	CDKN2D
GO:0006915	ANGPTL4
GO:0006915	ADAR
GO:0006915	RPS3
GO:0006915	NET1
GO:0006915	CASP6
GO:0006915	CASP9
GO:0006915	CASP7
GO:0006915	PPARGC1A
GO:0006915	INHBE
GO:0006915	UBC
GO:0006915	PRAMEF9
GO:0006915	ZFP36L1
GO:0006915	HSF1
GO:0006915	USP17L22
GO:0006915	PLEKHG5
GO:0006915	ETV6
GO:0006915	PIDD1
GO:0006915	STPG1
GO:0006915	TGM2
GO:0006915	MAP3K9
GO:0006915	PTTG1IP
GO:0006915	PIAS4
GO:0006915	SLC35F6
GO:0006915	RAPGEF2
GO:0006915	SORT1
GO:0006915	GATA6
GO:0006915	MOAP1
GO:0006915	BAG3
GO:0006915	GPLD1
GO:0006915	NGFR
GO:0006915	ANXA6
GO:0006915	MKNK2
GO:0006915	EN1
GO:0006915	HNRNPK
GO:0006915	INPP5D
GO:0006915	SETX
GO:0006915	STK40
GO:0006915	NR4A3
GO:0006915	PELI3
GO:0006915	CASP10
GO:0006915	PROK2
GO:0006915	TMBIM4
GO:0006915	XPA
GO:0006915	CAPN10
GO:0006915	KRT8
GO:0006915	MTRNR2L1
GO:0006915	MTRNR2L3
GO:0006915	MTRNR2L4
GO:0006915	MTRNR2L6
GO:0006915	MTRNR2L7
GO:0006915	MTRNR2L8
GO:0006915	C1QBP
GO:0006915	TNFRSF9
GO:0006915	ERBB3
GO:0006915	TAOK1
GO:0006915	DUSP1
GO:0006915	FGFR2
GO:0006915	IGF1R
GO:0006915	USP17L12
GO:0006915	EIF2S1
GO:0006915	MFN2
GO:0006915	GAS6
GO:0006915	MPO
GO:0006915	FZD3
GO:0006915	RRM2B
GO:0006915	MTCH1
GO:0006915	SLC25A5
GO:0006915	NOX4
GO:0006915	GNA13
GO:0006915	AKAP12
GO:0006915	PRKCG
GO:0006915	TNFRSF25
GO:0006915	CUL5
GO:0006915	PPP2CA
GO:0006915	SERPINB2
GO:0006915	IL4
GO:0006915	INHA
GO:0006915	S100A8
GO:0006915	ITGB2
GO:0006915	FKBP8
GO:0006915	SCRT2
GO:0006915	AHR
GO:0006915	NLRC4
GO:0006915	BMP3
GO:0006915	ATF2
GO:0006915	APP
GO:0006915	BFAR
GO:0006915	PPP1CA
GO:0006915	CCND2
GO:0006915	FCER1G
GO:0006915	STK26
GO:0006915	ALX3
GO:0006915	EDAR
GO:0006915	FASTK
GO:0006915	NLRP1
GO:0006915	FOXQ1
GO:0006915	PTK2B
GO:0006915	FOXC1
GO:0006915	CTTN
GO:0006915	ING4
GO:0006915	IGF1
GO:0006915	RASSF7
GO:0006915	E2F2
GO:0006915	BNIP3
GO:0006915	NANOS3
GO:0006915	TMEM102
GO:0006915	CIT
GO:0006915	GATA3
GO:0006915	GATA2
GO:0006915	PAX3
GO:0006915	PAX7
GO:0006915	SOCS3
GO:0006915	S100B
GO:0006915	HYPK
GO:0006915	TMEM161A
GO:0006915	SOCS2
GO:0006915	JMY
GO:0006915	ANKRD2
GO:0006915	AGTR2
GO:0006915	CSRNP1
GO:0006915	TRIB3
GO:0006915	TAX1BP1
GO:0006915	HS1BP3
GO:0006915	PDCD10
GO:0006915	ANXA5
GO:0006915	GNAI3
GO:0006915	PRKCE
GO:0006915	SOX10
GO:0006915	DHODH
GO:0006915	RNF152
GO:0006915	WDR35
GO:0006915	SCN2A
GO:0006915	BTC
GO:0006915	TRAF4
GO:0006915	CLEC5A
GO:0006915	BEX3
GO:0006915	MDM2
GO:0006915	PDCD7
GO:0006915	POU4F3
GO:0006915	ATOH1
GO:0006915	MAPK8IP2
GO:0006915	DLL1
GO:0006915	TDGF1
GO:0006915	USP17L19
GO:0006915	HSP90B1
GO:0006915	FNIP2
GO:0006915	USP36
GO:0006915	B4GALT1
GO:0006915	GAS1
GO:0006915	ASAH2
GO:0006915	AMBRA1
GO:0006915	MAP2K4
GO:0006915	MAPK9
GO:0006915	MAPK8
GO:0006915	USP27X
GO:0006915	PPP2R1B
GO:0006915	PPP2R1A
GO:0006915	BCL11B
GO:0006915	FOXL2
GO:0006915	SPHK2
GO:0006915	UNC5A
GO:0006915	FHL2
GO:0006915	WRN
GO:0006915	PDIA3
GO:0006915	TFDP2
GO:0006915	TFDP1
GO:0006915	DOCK1
GO:0006915	CDC73
GO:0006915	XKR8
GO:0006915	SCRIB
GO:0006915	DELE1
GO:0006915	TEK
GO:0006915	UBD
GO:0006915	RAMP2
GO:0006915	EP300
GO:0006915	LRP8
GO:0006915	HNF1B
GO:0006915	VHL
GO:0006915	USP17L20
GO:0006915	IFI27
GO:0006915	DDIT3
GO:0006915	TIMP3
GO:0006915	BNIP2
GO:0006915	BNIP1
GO:0006915	ABR
GO:0006915	TNFRSF19
GO:0006915	TOMM22
GO:0006915	ACTN2
GO:0006915	KNG1
GO:0006915	TIMP1
GO:0006915	GRIN1
GO:0006915	AGT
GO:0006915	RPS27A
GO:0006915	RRAGA
GO:0006915	RAD9A
GO:0006915	MZB1
GO:0006915	NSMF
GO:0006915	BAD
GO:0006915	ZBTB16
GO:0006915	PRKCZ
GO:0006915	DCC
GO:0006915	MEIS3
GO:0006915	AKT1
GO:0006915	LAMP1
GO:0006915	JTB
GO:0006915	DFFB
GO:0006915	RALB
GO:0006915	NCOA1
GO:0006915	NEURL1
GO:0006915	ITGAM
GO:0006915	NPY5R
GO:0006915	MADD
GO:0006915	WFS1
GO:0006915	RSL1D1
GO:0006915	HPN
GO:0006915	CTSH
GO:0006915	DAPK1
GO:0006915	TCP1
GO:0006915	NES
GO:0006915	FAS
GO:0006915	HTT
GO:0006915	GATA4
GO:0006915	INS
GO:0006915	DYNAP
GO:0006915	LPAR1
GO:0006915	NSMAF
GO:0006915	GPAM
GO:0006915	BRSK2
GO:0006915	SDF2L1
GO:0006915	POR
GO:0006915	LRRK2
GO:0006915	MGMT
GO:0006915	CRH
GO:0006915	BRMS1
GO:0006915	ZNF304
GO:0006915	S100A14
GO:0006915	VDAC1
GO:0006915	CTSC
GO:0006915	DNAJC10
GO:0006915	RABGGTB
GO:0006915	MAPK1
GO:0006915	VIP
GO:0006915	GABRB3
GO:0006915	GCG
GO:0006915	PTH
GO:0006915	C5AR1
GO:0006915	CRLF1
GO:0006915	CCAR2
GO:0006915	AHI1
GO:0006915	RHOT2
GO:0006915	SHISA5
GO:0006915	PTPA
GO:0006915	GML
GO:0006915	MAGEA3
GO:0006915	NR4A2
GO:0006915	PAFAH2
GO:0006915	SFN
GO:0006915	YWHAB
GO:0006915	CASP14
GO:0006915	HDAC2
GO:0006915	PARK7
GO:0006915	TICAM2
GO:0006915	UNG
GO:0006915	OXR1
GO:0006915	SHC4
GO:0006915	NAA16
GO:0006915	NCKAP1L
GO:0006915	WNT11
GO:0006915	MT1F
GO:0006915	C6orf120
GO:0006915	BIN1
GO:0006915	GDF7
GO:0006915	GDF10
GO:0006915	INHBC
GO:0006915	PRAMEF27
GO:0006915	PRAMEF22
GO:0006915	SFPQ
GO:0006915	SON
GO:0006915	TMEM214
GO:0006915	FRZB
GO:0006915	CDK4
GO:0006915	LIMS2
GO:0006915	DPF2
GO:0006915	CDK5
GO:0006915	ADCYAP1
GO:0006915	NCKAP1
GO:0006915	USP17L4
GO:0006915	USP17L3
GO:0006915	WNT10B
GO:0006915	IL2RA
GO:0006915	EPO
GO:0006915	IL1B
GO:0006915	IL1A
GO:0006915	NKX2-6
GO:0006915	IFNG
GO:0006915	RYBP
GO:0006915	USP53
GO:0006915	SFRP1
GO:0006915	BCL2L14
GO:0006915	ERCC5
GO:0006915	CARD8
GO:0006915	UCN
GO:0006915	HSP90AB1
GO:0006915	FGF8
GO:0006915	GCLM
GO:0006915	GCLC
GO:0006915	PTK2
GO:0006915	IER3IP1
GO:0006915	XKR4
GO:0006915	SMO
GO:0006915	MYD88
GO:0006915	APH1B
GO:0006915	AEN
GO:0006915	CIB1
GO:0006915	FOXB1
GO:0006915	CLC
GO:0006915	TNFAIP8L1
GO:0006915	GSN
GO:0006915	PHLDA2
GO:0006915	TWIST2
GO:0006915	ZFAND6
GO:0006915	HSPA5
GO:0006915	YBX3
GO:0006915	S100A9
GO:0006915	CCK
GO:0006915	PRKCI
GO:0006915	POLB
GO:0006915	LGALS12
GO:0006915	PPP3CC
GO:0006915	SOX9
GO:0006915	SOX2
GO:0006915	CIAPIN1
GO:0006915	CCN1
GO:0006915	BCL7C
GO:0006915	PRUNE2
GO:0006915	SIRT4
GO:0006915	OLFM1
GO:0006915	TMEM14A
GO:0006915	TIA1
GO:0006915	MNAT1
GO:0006915	CCL19
GO:0006915	USP17L10
GO:0006915	PHLDA1
GO:0006915	SIGMAR1
GO:0006915	CITED2
GO:0006915	RTL10
GO:0006915	GDF15
GO:0006915	SFRP4
GO:0006915	TGFBR1
GO:0006915	ACVR1B
GO:0006915	ERBB4
GO:0006915	FLT3
GO:0006915	EXOC5
GO:0006915	TRAF5
GO:0006915	LMBR1L
GO:0006915	DNM1L
GO:0006915	SAP18
GO:0006915	EEF2K
GO:0006915	DKK1
GO:0006915	SEMA4D
GO:0006915	P2RX4
